Fecha,Empresa,Precio_cierre
2012-09-05,NATURGY,5.029595851898193
2012-09-06,NATURGY,5.254287242889404
2012-09-07,NATURGY,5.678972244262695
2012-09-10,NATURGY,5.590085983276367
2012-09-11,NATURGY,5.595023155212402
2012-09-12,NATURGY,5.757986068725586
2012-09-13,NATURGY,5.753047466278076
2012-09-14,NATURGY,6.064155101776123
2012-09-17,NATURGY,5.950576305389404
2012-09-18,NATURGY,5.822182655334473
2012-09-19,NATURGY,5.876503944396973
2012-09-20,NATURGY,5.851813793182373
2012-09-21,NATURGY,6.098725318908691
2012-09-24,NATURGY,6.00242805480957
2012-09-25,NATURGY,5.925886631011963
2012-09-26,NATURGY,5.56539249420166
2012-09-27,NATURGY,5.595023155212402
2012-09-28,NATURGY,5.4394707679748535
2012-10-01,NATURGY,5.590085983276367
2012-10-02,NATURGY,5.646875381469727
2012-10-03,NATURGY,5.676504135131836
2012-10-04,NATURGY,5.678972244262695
2012-10-05,NATURGY,5.686381340026856
2012-10-08,NATURGY,5.619714260101318
2012-10-09,NATURGY,5.644406795501709
2012-10-10,NATURGY,5.71600866317749
2012-10-11,NATURGY,5.728356838226318
2012-10-12,NATURGY,5.696256637573242
2012-10-15,NATURGY,5.730825424194336
2012-10-16,NATURGY,5.8493428230285645
2012-10-17,NATURGY,5.940700054168701
2012-10-18,NATURGY,5.928354263305664
2012-10-19,NATURGY,5.898725509643555
2012-10-22,NATURGY,5.876503944396973
2012-10-23,NATURGY,5.787614822387695
2012-10-24,NATURGY,5.822182655334473
2012-10-25,NATURGY,5.864158630371094
2012-10-26,NATURGY,5.881439685821533
2012-10-29,NATURGY,5.859220504760742
2012-10-30,NATURGY,5.935763359069824
2012-10-31,NATURGY,5.91107177734375
2012-11-01,NATURGY,5.965392112731934
2012-11-02,NATURGY,6.012304782867432
2012-11-05,NATURGY,5.977737903594971
2012-11-06,NATURGY,5.940700054168701
2012-11-07,NATURGY,5.883911609649658
2012-11-08,NATURGY,5.86168909072876
2012-11-09,NATURGY,5.86662483215332
2012-11-12,NATURGY,5.851813793182373
2012-11-13,NATURGY,5.819715023040772
2012-11-14,NATURGY,5.854280471801758
2012-11-15,NATURGY,5.945638656616211
2012-11-16,NATURGY,5.928354263305664
2012-11-19,NATURGY,6.004896640777588
2012-11-20,NATURGY,5.960453033447266
2012-11-21,NATURGY,5.9925537109375
2012-11-22,NATURGY,6.044403076171875
2012-11-23,NATURGY,6.074031829833984
2012-11-26,NATURGY,6.012304782867432
2012-11-27,NATURGY,5.9999589920043945
2012-11-28,NATURGY,5.903663158416748
2012-11-29,NATURGY,5.950576305389404
2012-11-30,NATURGY,5.893787384033203
2012-12-03,NATURGY,5.950576305389404
2012-12-04,NATURGY,6.019711971282959
2012-12-05,NATURGY,6.123414993286133
2012-12-06,NATURGY,6.197489261627197
2012-12-07,NATURGY,6.180204391479492
2012-12-10,NATURGY,6.172798156738281
2012-12-11,NATURGY,6.316006183624268
2012-12-12,NATURGY,6.397488117218018
2012-12-13,NATURGY,6.444401264190674
2012-12-14,NATURGY,6.439463138580322
2012-12-17,NATURGY,6.5431671142578125
2012-12-18,NATURGY,6.681435108184815
2012-12-19,NATURGY,6.748101711273193
2012-12-20,NATURGY,6.681435108184815
2012-12-21,NATURGY,6.735755443572998
2012-12-24,NATURGY,6.750572681427002
2012-12-27,NATURGY,6.8641510009765625
2012-12-28,NATURGY,6.750572681427002
2012-12-31,NATURGY,6.706125736236572
2013-01-02,NATURGY,6.8913092613220215
2013-01-03,NATURGY,6.943164348602295
2013-01-04,NATURGY,6.96785306930542
2013-01-07,NATURGY,6.9703240394592285
2013-01-08,NATURGY,6.970831394195557
2013-01-09,NATURGY,7.120660781860352
2013-01-10,NATURGY,7.054633140563965
2013-01-11,NATURGY,7.0114617347717285
2013-01-14,NATURGY,6.84385871887207
2013-01-15,NATURGY,6.950514316558838
2013-01-16,NATURGY,7.024160385131836
2013-01-17,NATURGY,7.085108280181885
2013-01-18,NATURGY,7.026699542999268
2013-01-21,NATURGY,7.090185165405273
2013-01-22,NATURGY,7.064789772033691
2013-01-23,NATURGY,7.280643939971924
2013-01-24,NATURGY,7.372066497802734
2013-01-25,NATURGY,7.51427412033081
2013-01-28,NATURGY,7.575223445892334
2013-01-29,NATURGY,7.631092548370361
2013-01-30,NATURGY,7.618394374847412
2013-01-31,NATURGY,7.468567371368408
2013-02-01,NATURGY,7.5320515632629395
2013-02-04,NATURGY,7.245091438293457
2013-02-05,NATURGY,7.435553073883057
2013-02-06,NATURGY,7.448249340057373
2013-02-07,NATURGY,7.36444616317749
2013-02-08,NATURGY,7.399999618530273
2013-02-11,NATURGY,7.36444616317749
2013-02-12,NATURGY,7.534592628479004
2013-02-13,NATURGY,7.801236629486084
2013-02-14,NATURGY,7.831709384918213
2013-02-15,NATURGY,7.798696041107178
2013-02-18,NATURGY,7.717434883117676
2013-02-19,NATURGY,7.770761966705322
2013-02-20,NATURGY,7.709814548492432
2013-02-21,NATURGY,7.62347412109375
2013-02-22,NATURGY,7.770761966705322
2013-02-25,NATURGY,7.646326541900635
2013-02-26,NATURGY,7.4787211418151855
